,PEACH,BREAD,MILK,CUCUMBER,STRAWBERRY,APPLE,total
Water_(g),93.49665294117648,34.457261904761914,86.64445614035087,93.1006,0.7120000000000001,146.42637500000004,454.8373459862893
Energ_Kcal,119.45470588235295,277.17857142857144,162.6357894736842,13.094999999999999,692.42,257.17249999999996,1521.9565667846084
Protein_(g),1.3880352941176468,8.976190476190473,10.80844912280702,0.6013999999999999,0.17800000000000002,7.229837500000001,29.181912393115137
Lipid_Tot_(g),0.27865294117647066,5.289761904761903,4.597571929824562,0.13095,0.35600000000000004,7.608062500000002,18.260999275762938
Ash_(g),0.9009529411764708,2.1630952380952384,2.2755087719298244,0.3589,0.35600000000000004,1.8455125,7.8999694512015335
Carbohydrt_(g),30.93869411764706,49.08964285714286,19.655522807017537,2.80815,176.398,41.8938,320.78380978180746
Fiber_TD_(g),2.328333333333333,4.9624999999999995,0.23059649122807016,0.582,0.0,4.364342105263157,12.46777192982456
Sugar_Tot_(g),20.677716666666665,5.861714285714285,21.126139534883713,1.47925,169.901,27.089871428571424,246.1356919158361
Calcium_(mg),11.131176470588237,86.71428571428571,338.280701754386,14.549999999999999,7.12,45.817499999999995,503.61366393925994
Iron_(mg),1.3222941176470588,2.7233333333333327,0.3337122807017544,0.2425,0.7832,1.0265375,6.431577231682145
Magnesium_(mg),15.91235294117647,40.73809523809524,34.41543859649123,12.125,1.78,21.268749999999997,126.23963677576295
Phosphorus_(mg),41.46176470588235,151.96428571428572,285.24350877192984,21.825,8.9,124.5375,633.9320591920979
Potassium_(mg),348.50294117647064,214.3452380952381,468.2414035087719,137.255,10.68,370.84499999999997,1549.8695827804809
Sodium_(mg),6.424705882352941,484.1547619047619,204.05614035087717,1.94,67.64,363.66999999999996,1127.885608137992
Zinc_(mg),0.23382941176470587,1.0084523809523807,1.2184631578947371,0.17945,0.0,0.7969375,3.437132450611824
Copper_mg),0.14799235294117646,0.20996428571428571,0.04072421052631578,0.05431999999999999,0.0,0.11331374999999999,0.566314599181778
Manganese_(mg),0.12539133333333333,0.7995750000000001,0.026612307692307706,0.07372,0.0,0.24272000000000002,1.268018641025641
Selenium_(µg),0.37123076923076925,25.406666666666666,7.690214285714287,0.194,0.89,9.00948717948718,43.561598901098904
Vit_C_(mg),13.066058823529414,0.8415584415584417,2.78021052631579,2.91,0.534,18.692962962962962,38.8247907543666
Thiamin_(mg),0.015015882352941178,0.3654096385542168,0.11416701754385962,0.02813,0.00534,0.06493375,0.5929962884510176
Riboflavin_(mg),0.052070000000000005,0.25922891566265066,0.48381754385964926,0.028130000000000002,0.1958,0.13801625,1.1570627095222998
Niacin_(mg),1.566134117647059,3.72168674698795,0.7650582456140352,0.065475,0.12994,1.856685,8.104979110249046
Panto_Acid_mg),0.19296529411764707,0.4454133333333332,1.0201623076923076,0.24201499999999998,0.0017800000000000001,0.47354999999999997,2.375885935143288
Vit_B6_(mg),0.0415364705882353,0.12346341463414635,0.13339789473684208,0.044135,0.0035600000000000002,0.21719750000000002,0.5632902799592238
Folate_Tot_(µg),3.6605882352941177,79.625,16.076491228070175,10.185,0.0,3.2116666666666664,112.75874613003097
Folic_Acid_(µg),0.0,45.42857142857143,1.8926315789473684,0.0,0.0,0.0,47.3212030075188
Food_Folate_(µg),3.6605882352941177,35.875,14.183859649122807,10.185,0.0,2.332758620689655,66.23720650510658
Folate_DFE_(µg),3.6605882352941177,111.1038961038961,17.403508771929822,10.185,0.0,1.5374999999999999,143.89049311112004
Choline_Tot_ (mg),6.315363636363636,20.004838709677426,50.7129756097561,5.674499999999999,0.17800000000000002,13.788478260869566,96.67415621666672
Vit_B12_(µg),0.0,0.0448051948051948,1.1930105263157893,0.0,0.0,0.41256249999999994,1.650378221120984
Vit_A_IU,629.1729411764707,63.23076923076923,334.1256140350877,85.845,0.0,228.11374999999998,1340.4880744423276
Vit_A_RAE,31.60058823529412,11.421052631578947,94.90428571428572,4.365,0.0,23.035526315789472,165.32645289694827
Retinol_(µg),0.0,10.06578947368421,95.54763636363636,0.0,0.0,14.525714285714283,120.13914012303485
Alpha_Carot_(µg),0.6927272727272726,0.38095238095238093,0.0,9.215,0.0,30.184482758620685,40.47316241230034
Beta_Carot_(µg),333.3172727272727,8.90625,12.947906976744187,36.86,0.0,118.47586206896551,510.50729177298246
Beta_Crypt_(µg),131.61818181818182,0.4603174603174603,0.0,21.34,0.0,29.124137931034483,182.54263720953378
Lycopene_(µg),0.0,0.0,0.0,0.0,0.0,329.06034482758616,329.06034482758616
Lut+Zea_ (µg),148.0127272727273,61.73015873015873,0.02883720930232558,18.915,0.0,91.04827586206896,319.7349990742573
Vit_E_(mg),0.6384636363636365,0.514179104477612,0.10813953488372095,0.029099999999999997,0.0,0.9144242424242425,2.204306518149212
Vit_D_µg,0.0,0.02153846153846154,1.9031304347826083,0.0,0.0,0.0,1.9246688963210699
Vit_D_IU,0.0,0.8461538461538461,75.96347826086956,0.0,0.0,0.0,76.8096321070234
Vit_K_(µg),4.318,4.303174603174604,0.43832558139534883,11.445999999999998,0.0,17.63,38.13550018456995
FA_Sat_(g),0.0288364705882353,1.1400714285714284,2.76272,0.024249999999999997,0.0,2.005661428571428,5.961539327731092
FA_Mono_(g),0.0986864705882353,1.7685952380952377,1.2390478571428571,0.003395,0.0,2.277081428571429,5.3868059943977595
FA_Poly_(g),0.1306605882352941,1.678416666666666,0.22592357142857145,0.016975,0.0,3.3631714285714285,5.41514725490196
Cholestrl_(mg),0.0,4.9480519480519485,19.209122807017543,0.0,0.0,23.51470588235294,47.67188063742243
Gramm,127.0,100.0,124.0,97.0,178.0,205.0,831.0
